task_name,user_id,experiment_setting,data_label,accept_ai_advice
platform,anpeirong,high-L0-0,1,1
platform,anpeirong,high-L0-1,2,0
platform,anpeirong,high-L1-0,2,0
platform,anpeirong,high-L1-1,2,0
platform,anpeirong,high-L2-0,5,9
platform,anpeirong,high-L2-1,4,8
platform,anpeirong,low-L0-0,2,0
platform,anpeirong,low-L0-1,2,0
platform,anpeirong,low-L1-0,2,4
platform,anpeirong,low-L1-1,2,1
platform,anpeirong,low-L2-0,5,9
platform,anpeirong,low-L2-1,4,6
platform,baidexiang,high-L0-0,2,1
platform,baidexiang,high-L0-1,2,0
platform,baidexiang,high-L1-0,2,0
platform,baidexiang,high-L1-1,1,0
platform,baidexiang,high-L2-0,4,10
platform,baidexiang,high-L2-1,4,8
platform,baidexiang,low-L0-0,2,2
platform,baidexiang,low-L0-1,2,0
platform,baidexiang,low-L1-0,3,5
platform,baidexiang,low-L1-1,4,4
platform,baidexiang,low-L2-0,4,10
platform,baidexiang,low-L2-1,4,10
platform,gaoqingshuang,high-L0-0,4,0
platform,gaoqingshuang,high-L0-1,1,0
platform,gaoqingshuang,high-L1-0,4,0
platform,gaoqingshuang,high-L1-1,3,0
platform,gaoqingshuang,high-L2-0,5,10
platform,gaoqingshuang,high-L2-1,5,10
platform,gaoqingshuang,low-L0-0,3,0
platform,gaoqingshuang,low-L0-1,3,0
platform,gaoqingshuang,low-L1-0,3,1
platform,gaoqingshuang,low-L1-1,4,1
platform,gaoqingshuang,low-L2-0,5,10
platform,gaoqingshuang,low-L2-1,5,10
platform,jianglu,high-L0-0,3,0
platform,jianglu,high-L0-1,2,0
platform,jianglu,high-L1-0,4,0
platform,jianglu,high-L1-1,4,0
platform,jianglu,high-L2-0,5,10
platform,jianglu,high-L2-1,5,9
platform,jianglu,low-L0-0,2,0
platform,jianglu,low-L0-1,3,0
platform,jianglu,low-L1-0,4,1
platform,jianglu,low-L1-1,4,0
platform,jianglu,low-L2-0,5,10
platform,jianglu,low-L2-1,5,8
platform,lihongzu,high-L0-0,4,0
platform,lihongzu,high-L0-1,4,0
platform,lihongzu,high-L1-0,4,0
platform,lihongzu,high-L1-1,4,0
platform,lihongzu,high-L2-0,5,10
platform,lihongzu,high-L2-1,5,10
platform,lihongzu,low-L0-0,4,2
platform,lihongzu,low-L0-1,4,0
platform,lihongzu,low-L1-0,5,2
platform,lihongzu,low-L1-1,5,1
platform,lihongzu,low-L2-0,5,10
platform,lihongzu,low-L2-1,5,10
platform,yuanpeijun,high-L0-0,2,0
platform,yuanpeijun,high-L0-1,2,0
platform,yuanpeijun,high-L1-0,3,0
platform,yuanpeijun,high-L1-1,2,0
platform,yuanpeijun,high-L2-0,5,10
platform,yuanpeijun,high-L2-1,5,10
platform,yuanpeijun,low-L0-0,3,1
platform,yuanpeijun,low-L0-1,3,1
platform,yuanpeijun,low-L1-0,3,5
platform,yuanpeijun,low-L1-1,3,1
platform,yuanpeijun,low-L2-0,5,10
platform,yuanpeijun,low-L2-1,5,10
sensor,anpeirong,high-L0-0,2,5
sensor,anpeirong,high-L0-1,2,7
sensor,anpeirong,high-L1-0,4,10
sensor,anpeirong,high-L1-1,3,8
sensor,anpeirong,high-L2-0,5,10
sensor,anpeirong,high-L2-1,5,10
sensor,anpeirong,low-L0-0,2,3
sensor,anpeirong,low-L0-1,1,5
sensor,anpeirong,low-L1-0,4,9
sensor,anpeirong,low-L1-1,3,9
sensor,anpeirong,low-L2-0,5,10
sensor,anpeirong,low-L2-1,5,10
sensor,baidexiang,high-L0-0,3,4
sensor,baidexiang,high-L0-1,2,3
sensor,baidexiang,high-L1-0,3,7
sensor,baidexiang,high-L1-1,1,2
