experiment_setting,user_id,data_label,non_one_count,task_name
platform-high-L0-0,anpeirong,1,8,platform
platform-high-L0-0,baidexiang,2,9,platform
platform-high-L0-0,gaoqingshuang,4,10,platform
platform-high-L0-0,jianglu,3,10,platform
platform-high-L0-0,lihongzu,4,10,platform
platform-high-L0-0,yuanpeijun,2,10,platform
platform-high-L0-1,anpeirong,2,10,platform
platform-high-L0-1,baidexiang,2,10,platform
platform-high-L0-1,gaoqingshuang,1,10,platform
platform-high-L0-1,jianglu,2,10,platform
platform-high-L0-1,lihongzu,4,10,platform
platform-high-L0-1,yuanpeijun,2,10,platform
platform-high-L1-0,anpeirong,2,10,platform
platform-high-L1-0,baidexiang,2,10,platform
platform-high-L1-0,gaoqingshuang,4,10,platform
platform-high-L1-0,jianglu,4,10,platform
platform-high-L1-0,lihongzu,4,10,platform
platform-high-L1-0,yuanpeijun,3,10,platform
platform-high-L1-1,anpeirong,2,10,platform
platform-high-L1-1,baidexiang,1,10,platform
platform-high-L1-1,gaoqingshuang,3,10,platform
platform-high-L1-1,jianglu,4,10,platform
platform-high-L1-1,lihongzu,4,10,platform
platform-high-L1-1,yuanpeijun,2,10,platform
platform-high-L2-0,anpeirong,5,1,platform
platform-high-L2-0,baidexiang,4,0,platform
platform-high-L2-0,gaoqingshuang,5,10,platform
platform-high-L2-0,jianglu,5,0,platform
platform-high-L2-0,lihongzu,5,0,platform
platform-high-L2-0,yuanpeijun,5,0,platform
platform-high-L2-1,anpeirong,4,2,platform
platform-high-L2-1,baidexiang,4,2,platform
platform-high-L2-1,gaoqingshuang,5,5,platform
platform-high-L2-1,jianglu,5,1,platform
platform-high-L2-1,lihongzu,5,0,platform
platform-high-L2-1,yuanpeijun,5,0,platform
platform-low-L0-0,anpeirong,2,10,platform
platform-low-L0-0,baidexiang,2,8,platform
platform-low-L0-0,gaoqingshuang,3,10,platform
platform-low-L0-0,jianglu,2,10,platform
platform-low-L0-0,lihongzu,4,8,platform
platform-low-L0-0,yuanpeijun,3,9,platform
platform-low-L0-1,anpeirong,2,10,platform
platform-low-L0-1,baidexiang,2,10,platform
platform-low-L0-1,gaoqingshuang,3,10,platform
platform-low-L0-1,jianglu,3,10,platform
platform-low-L0-1,lihongzu,4,10,platform
platform-low-L0-1,yuanpeijun,3,9,platform
platform-low-L1-0,anpeirong,2,7,platform
platform-low-L1-0,baidexiang,3,5,platform
platform-low-L1-0,gaoqingshuang,3,9,platform
platform-low-L1-0,jianglu,4,9,platform
platform-low-L1-0,lihongzu,5,8,platform
platform-low-L1-0,yuanpeijun,3,5,platform
platform-low-L1-1,anpeirong,2,9,platform
platform-low-L1-1,baidexiang,4,6,platform
platform-low-L1-1,gaoqingshuang,4,9,platform
platform-low-L1-1,jianglu,4,10,platform
platform-low-L1-1,lihongzu,5,9,platform
platform-low-L1-1,yuanpeijun,3,9,platform
platform-low-L2-0,anpeirong,5,1,platform
platform-low-L2-0,baidexiang,4,0,platform
platform-low-L2-0,gaoqingshuang,5,5,platform
platform-low-L2-0,jianglu,5,0,platform
platform-low-L2-0,lihongzu,5,0,platform
platform-low-L2-0,yuanpeijun,5,0,platform
platform-low-L2-1,anpeirong,4,4,platform
platform-low-L2-1,baidexiang,4,0,platform
platform-low-L2-1,gaoqingshuang,5,8,platform
platform-low-L2-1,jianglu,5,2,platform
platform-low-L2-1,lihongzu,5,0,platform
platform-low-L2-1,yuanpeijun,5,0,platform
sensor-high-L0-0,anpeirong,2,5,sensor
sensor-high-L0-0,baidexiang,3,6,sensor
sensor-high-L0-0,gaoqingshuang,2,4,sensor
sensor-high-L0-0,jianglu,1,8,sensor
sensor-high-L0-0,lihongzu,2,9,sensor
sensor-high-L0-0,yuanpeijun,2,7,sensor
sensor-high-L0-1,anpeirong,2,3,sensor
sensor-high-L0-1,baidexiang,2,7,sensor
sensor-high-L0-1,gaoqingshuang,2,6,sensor
sensor-high-L0-1,jianglu,2,5,sensor
sensor-high-L0-1,lihongzu,3,5,sensor
sensor-high-L0-1,yuanpeijun,2,4,sensor
sensor-high-L1-0,anpeirong,4,0,sensor
sensor-high-L1-0,baidexiang,3,3,sensor
sensor-high-L1-0,gaoqingshuang,4,3,sensor
sensor-high-L1-0,jianglu,4,1,sensor
sensor-high-L1-0,lihongzu,4,2,sensor
sensor-high-L1-0,yuanpeijun,3,2,sensor
sensor-high-L1-1,anpeirong,3,2,sensor
sensor-high-L1-1,baidexiang,1,8,sensor
